source,record_id,application_number,publication_number,patent_number,invention_title,filing_date,filing_year,publication_date,grant_date,first_applicant,applicant_names,assignee_names,cpc_symbols,application_type,source_url,query_year,ticker,parent_company,matched_terms_all,matched_alias_terms,matched_product_terms,matched_text_all,match_fields_all,match_kinds_all,mention_types_all,match_contexts_all,matched_term_count,matched_alias_term_count,matched_product_term_count,match_occurrence_count,max_confidence_score,needs_manual_review,review_reasons_all,best_match_term,best_match_field,best_match_kind
uspto,18697401,18697401,US20250382605A1,,MAGNETIC NANOPARTICLES FOR SAMPLE SEPARATION,2025-05-08,2025,2025-12-18,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/18697401,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,18880814,18880814,US20260009762A1,,FLEXIBLE CAPILLARY ARRAY DEVICE AND RELATED SYSTEMS AND METHODS,2025-01-02,2025,2026-01-08,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/18880814,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,18880815,18880815,US20260002850A1,,A SAMPLE DELIVERY SYSTEM FOR AN ANALYTICAL INSTRUMENT,2025-01-02,2025,2026-01-01,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/18880815,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,18994435,18994435,US20260028616A1,,METHODS AND APPARATUS FOR DUPLEX NUCLEOTIDE PURIFICATION,2025-01-14,2025,2026-01-29,,"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",,,Utility,https://patentcenter.uspto.gov/applications/18994435,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,18998197,18998197,US20260027210A1,,THERAPEUTIC COMBINATIONS OF TITR EFFECTORS WITH RADIATION THERAPY,2025-01-24,2025,2026-01-29,,"Varian Medical Systems, Inc.","Varian Medical Systems, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/18998197,2025,A,Agilent Technologies,Varian,Varian,,varian,applicant_names; first_applicant,company_alias,methods_or_use,varian medical systems inc,1,1,0,2,0.54,True,context_required_term; single_token_term; low_confidence,Varian,applicant_names,company_alias
uspto,19023737,19023737,US20260206123A1,,"SYSTEMS, APPARATUSES, AND METHODS OF MANUFACTURING LINEAR ACCELERATORS",2025-01-16,2025,2026-07-16,,"Varian Medical Systems, Inc.","Varian Medical Systems, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19023737,2025,A,Agilent Technologies,Varian,Varian,,varian,applicant_names; first_applicant,company_alias,methods_or_use,varian medical systems inc,1,1,0,2,0.54,True,context_required_term; single_token_term; low_confidence,Varian,applicant_names,company_alias
uspto,19029794,19029794,US20260207242A1,,CRYOABLATION PROBES WITH CRYOGEN FLOW DISRUPTORS,2025-01-17,2025,2026-07-23,,"Varian Medical Systems, Inc.","Varian Medical Systems, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19029794,2025,A,Agilent Technologies,Varian,Varian,,varian,applicant_names; first_applicant,company_alias,methods_or_use,varian medical systems inc,1,1,0,2,0.54,True,context_required_term; single_token_term; low_confidence,Varian,applicant_names,company_alias
uspto,19029924,19029924,US20260210358A1,,PREDICTING TIP SEAL WEAR IN SCROLL PUMP,2025-01-17,2025,2026-07-23,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19029924,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19030160,19030160,US20260210359A1,,DETERMINING TIP SEAL MAINTENANCE REQUIREMENT IN SCROLL PUMP,2025-01-17,2025,2026-07-23,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19030160,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19030737,19030737,US20250164452A1,,SAMPLE INJECTION WITH FLUIDIC CONNECTION BETWEEN FLUID DRIVE UNIT AND SAMPLE ACCOMMODATION VOLUME,2025-01-17,2025,2025-05-22,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19030737,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19035623,19035623,US20250277257A1,,HYBRIDIZATION COMPOSITIONS AND METHODS,2025-01-23,2025,2025-09-04,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19035623,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19036758,19036758,,12357716,AQUA-OZONE HYGIENIZATION,2025-01-24,2025,,2025-07-15,Biotek Environmental Science Ltd,Biotek Environmental Science Ltd,,,Utility,https://patentcenter.uspto.gov/applications/19036758,2025,A,Agilent Technologies,BioTek,BioTek,,biotek,applicant_names; first_applicant,company_alias,generic_mention,biotek environmental science ltd,1,1,0,2,0.9,True,single_token_term,BioTek,applicant_names,company_alias
uspto,19037391,19037391,US20250332306A1,,AQUA-OZONE HYGIENIZATION,2025-01-27,2025,2025-10-30,,Biotek Environmental Science Ltd,Biotek Environmental Science Ltd,,,Utility,https://patentcenter.uspto.gov/applications/19037391,2025,A,Agilent Technologies,BioTek,BioTek,,biotek,applicant_names; first_applicant,company_alias,generic_mention,biotek environmental science ltd,1,1,0,2,0.9,True,single_token_term,BioTek,applicant_names,company_alias
uspto,19040758,19040758,US20250244209A1,,CALIBRATION OF A SAMPLING DEVICE FOR AN ANALYTICAL DEVICE,2025-01-29,2025,2025-07-31,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19040758,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19040793,19040793,US20250244301A1,,CHARACTERIZING A PROPERTY OF A FLOW PATH OF AN ANALYSIS DEVICE,2025-01-29,2025,2025-07-31,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19040793,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19067114,19067114,US20260174448A1,,THROMBECTOMY APPARATUS AND METHOD,2025-02-28,2025,2026-06-25,,"Varian Medical Systems, Inc.","Varian Medical Systems, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19067114,2025,A,Agilent Technologies,Varian,Varian,,varian,applicant_names; first_applicant,company_alias,methods_or_use,varian medical systems inc,1,1,0,2,0.54,True,context_required_term; single_token_term; low_confidence,Varian,applicant_names,company_alias
uspto,19067340,19067340,US20250277805A1,,SELECTING A POSITION FOR MULTIPLE PROCESS FLUIDS IN AN ANALYSIS DEVICE,2025-02-28,2025,2025-09-04,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19067340,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19083383,19083383,US20250297957A1,,DETECTING A BUBBLE IN A FLUID PATH,2025-03-18,2025,2025-09-25,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19083383,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19086557,19086557,US20250250561A1,,ASSEMBLY OF LONG NUCLEIC ACIDS BY LIGATION USING INDEXED SPLINT OLIGOS,2025-03-21,2025,2025-08-07,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19086557,2025,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
