source,ticker,record_id,title,publication_date,source_url,match_kind,search_term,matched_text,review_status,review_reason,confidence_score,mention_type,context
biorxiv,WAT,10.1101/2022.03.31.486604,PIEZO1-dependent erythrocyte dehydration as the mechanism for selection of an allele protecting from severe malaria.,2022-04-01,https://www.bioRxiv.org/content/10.1101/2022.03.31.486604,company_alias,Waters,Waters,review_context_required,ambiguous_core_term_kept_with_context_requirement; single_word_company_alias; low_confidence_score,0.57,generic_mention,"on in African American donor RBC provokes dehydration-dependent cell hemolysis, impairing P. falciparum replication. C_LIO_LIRBC dehydration could be a malaria ameliorating factor in several known RBC hematological disorders, including sickle cell trait. C_LI biophysics Zimmerberg, J.; Glushakova, S. E.; Bezrukov, L.; Waters, H.; Kegawa, Y.; Blank, P. S. NICHD, NIH"
biorxiv,WAT,10.1101/2021.11.03.467212,Prediction of Kv11.1 potassium channel PAS-domain variants trafficking via machine learning,2022-05-31,https://www.bioRxiv.org/content/10.1101/2021.11.03.467212,company_alias,Waters,waters,review_context_required,ambiguous_core_term_kept_with_context_requirement; single_word_company_alias; low_confidence_score,0.57,methods_use,"pe for LQTS-associated variants. Specifically, we used these computational techniques to correlate structural and dynamic changes in the Kv11.1 channel protein PAS domain (PASD) with Kv11.1 channel protein trafficking phenotypes. These simulations unveiled several molecular features, including the numbers of hydrating waters and H-Bonds, as well as FoldX scores, that are predictive of trafficking. We then used statistical and ML (Decision tree (DT), Random forest (RF), and Support vector machine (SVM)) techniques to classify variants using these simulation-derived features. Together with bioinformatics data, such as sequence conservation"
biorxiv,WAT,10.1101/2023.02.25.529995,"A High-Throughput Microfluidic Quantitative PCR Platform for the Simultaneous Quantification of Pathogens, Fecal Indicator Bacteria, and Microbial Source Tracking Markers",2023-02-25,https://www.bioRxiv.org/content/10.1101/2023.02.25.529995,company_alias,Waters,waters,review_context_required,ambiguous_core_term_kept_with_context_requirement; single_word_company_alias; low_confidence_score,0.57,methods_use,"ific and sensitive detection was verified for most assays on the MFQPCR platform. The MFQPCR chip was applied to analyze pathogen removal rates during the wastewater treatment processes. In addition, multiple host-specific MST markers, FIB, and pathogens were successfully quantified in human and avian-impacted surface waters. While the genes for pathogens were relatively infrequently detected, positive correlations were observed between some potential pathogens such as Clostridium perfringens and Mycobacterium spp., and human MST markers. The MFQPCR chips developed in this study, therefore, can provide useful information to monitor and im"
