source,record_id,application_number,publication_number,patent_number,invention_title,filing_date,filing_year,publication_date,grant_date,first_applicant,applicant_names,assignee_names,cpc_symbols,application_type,source_url,query_year,ticker,parent_company,matched_terms_all,matched_alias_terms,matched_product_terms,matched_text_all,match_fields_all,match_kinds_all,mention_types_all,match_contexts_all,matched_term_count,matched_alias_term_count,matched_product_term_count,match_occurrence_count,max_confidence_score,needs_manual_review,review_reasons_all,best_match_term,best_match_field,best_match_kind
uspto,19448957,19448957,US20260137960A1,,INTERNAL DOSE-ADAPTED AUTOMATED EXTERNAL BEAM RADIATION THERAPY,2026-01-14,2026,2026-05-21,,"Varian Medical Systems, Inc.","Varian Medical Systems, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19448957,2026,A,Agilent Technologies,Varian,Varian,,varian,applicant_names; first_applicant,company_alias,methods_or_use,varian medical systems inc,1,1,0,2,0.54,True,context_required_term; single_token_term; low_confidence,Varian,applicant_names,company_alias
uspto,19462517,19462517,US20260152741A1,,METHOD FOR USING GUIDE RNAS WITH CHEMICAL MODIFICATIONS,2026-01-28,2026,2026-06-04,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19462517,2026,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19532742,19532742,US20260169611A1,,LINEAR AND NON-LINEAR RANGE-BASED PLOT PANE SELECTION,2026-02-06,2026,2026-06-18,,"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",,,Utility,https://patentcenter.uspto.gov/applications/19532742,2026,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19543398,19543398,US20260177487A1,,UNIVERSAL MULTI-DETECTION SYSTEM FOR MICROPLATES WITH CONFOCAL IMAGING,2026-02-18,2026,2026-06-25,,"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",,,Utility,https://patentcenter.uspto.gov/applications/19543398,2026,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19551533,19551533,US20260194053A1,,3D CELL WASHER,2026-02-26,2026,2026-07-09,,"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",,,Utility,https://patentcenter.uspto.gov/applications/19551533,2026,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19554034,19554034,US20260192218A1,,DEGASSER WITH TWO WEAKLY COUPLED SPACES AND/OR WITH A RESTRICTION ADJUSTMENT DEVICE,2026-03-02,2026,2026-07-09,,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19554034,2026,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19559445,19559445,US20260204088A1,,APPARATUS AND METHOD FOR DETERRING A THIRD PARTY FROM COPYING A PRODUCT OR PROCESS,2026-03-06,2026,2026-07-16,,"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",,,Utility,https://patentcenter.uspto.gov/applications/19559445,2026,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,19563004,19563004,US20260201321A1,,"STEM CELL-DERIVED EMBRYO MODEL, AND CONSTRUCTION METHOD THEREFOR AND USE THEREOF",2026-03-11,2026,2026-07-16,,"Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences","Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences; BGI Research Shenzhen",,,Utility,https://patentcenter.uspto.gov/applications/19563004,2026,BGI,BGI Genomics,BGI,BGI,,bgi,applicant_names,company_alias,generic_mention,guangzhou institutes of biomedicine and health chinese academy of sciences bgi research shenzhen,1,1,0,1,0.43,True,context_required_term; single_token_term; low_confidence,BGI,applicant_names,company_alias
uspto,19455487,19455487,US20260151768A1,,MODIFICATION OF SURFACE PROPERTIES OF MICROFLUIDIC DEVICES,2026-01-21,2026,2026-06-04,,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19455487,2026,BIO,Bio-Rad Laboratories,Bio-Rad; Bio-Rad Laboratories; Bio-Rad Laboratories Inc,Bio-Rad; Bio-Rad Laboratories; Bio-Rad Laboratories Inc,,bio rad; bio rad laboratories; bio rad laboratories inc,applicant_names; first_applicant,company_alias,generic_mention,bio rad laboratories inc,3,3,0,6,0.94,False,,Bio-Rad Laboratories,applicant_names,company_alias
uspto,19458152,19458152,US20260193693A1,,MULTIPLE BEADS PER DROPLET RESOLUTION,2026-01-23,2026,2026-07-09,,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19458152,2026,BIO,Bio-Rad Laboratories,Bio-Rad; Bio-Rad Laboratories; Bio-Rad Laboratories Inc,Bio-Rad; Bio-Rad Laboratories; Bio-Rad Laboratories Inc,,bio rad; bio rad laboratories; bio rad laboratories inc,applicant_names; first_applicant,company_alias,generic_mention,bio rad laboratories inc,3,3,0,6,0.94,False,,Bio-Rad Laboratories,applicant_names,company_alias
uspto,19561046,19561046,US20260202310A1,,SYSTEM AND METHOD FOR RETRIEVING AND ANALYZING PARTICLES,2026-03-09,2026,2026-07-16,,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19561046,2026,BIO,Bio-Rad Laboratories,Bio-Rad; Bio-Rad Laboratories; Bio-Rad Laboratories Inc,Bio-Rad; Bio-Rad Laboratories; Bio-Rad Laboratories Inc,,bio rad; bio rad laboratories; bio rad laboratories inc,applicant_names; first_applicant,company_alias,generic_mention,bio rad laboratories inc,3,3,0,6,0.94,False,,Bio-Rad Laboratories,applicant_names,company_alias
uspto,19568535,19568535,US20260210908A1,,ELECTROPHORESIS APPARATUS WITH MINIMAL AUTOFLUORESCENCE TO ENABLE GEL PROCESSING IN SITU,2026-03-16,2026,2026-07-23,,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19568535,2026,BIO,Bio-Rad Laboratories,Bio-Rad; Bio-Rad Laboratories; Bio-Rad Laboratories Inc,Bio-Rad; Bio-Rad Laboratories; Bio-Rad Laboratories Inc,,bio rad; bio rad laboratories; bio rad laboratories inc,applicant_names; first_applicant,company_alias,generic_mention,bio rad laboratories inc,3,3,0,6,0.94,False,,Bio-Rad Laboratories,applicant_names,company_alias
uspto,19449098,19449098,US20260202654A1,,SLIDE-SCANNER CONTROL,2026-01-14,2026,2026-07-16,,"Leica Biosystems Imaging, Inc.","Leica Biosystems Imaging, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19449098,2026,DHR,Danaher,Leica Biosystems,Leica Biosystems,,leica biosystems,applicant_names; first_applicant,company_alias,methods_or_use,leica biosystems imaging inc,1,1,0,2,0.94,False,,Leica Biosystems,applicant_names,company_alias
uspto,19453869,19453869,US20260145099A1,,FRACTION COLLECTOR AND A METHOD FOR OPERATING THE SAME,2026-01-20,2026,2026-05-28,,CYTIVA SWEDEN AB,CYTIVA SWEDEN AB,,,Utility,https://patentcenter.uspto.gov/applications/19453869,2026,DHR,Danaher,Cytiva,Cytiva,,cytiva,applicant_names; first_applicant,company_alias,generic_mention,cytiva sweden ab,1,1,0,2,0.94,True,single_token_term,Cytiva,applicant_names,company_alias
uspto,19454146,19454146,US20260146219A1,,"SYSTEM, METHOD AND DEVICE FOR CULTURE OF A MULTICELLULAR STRUCTURE",2026-01-20,2026,2026-05-28,,Molecular Devices (Austria) GmbH,Molecular Devices (Austria) GmbH,,,Utility,https://patentcenter.uspto.gov/applications/19454146,2026,DHR,Danaher,Molecular Devices,Molecular Devices,,molecular devices,applicant_names; first_applicant,company_alias,generic_mention,molecular devices austria gmbh,1,1,0,2,0.9,False,,Molecular Devices,applicant_names,company_alias
uspto,19535115,19535115,US20260177903A1,,VIEWER WITH AUTOMATIC OPACITY ADJUSTMENT OF IMAGE MASK,2026-02-10,2026,2026-06-25,,"Leica Biosystems Imaging, Inc.","Leica Biosystems Imaging, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19535115,2026,DHR,Danaher,Leica Biosystems,Leica Biosystems,,leica biosystems,applicant_names; first_applicant,company_alias,methods_or_use,leica biosystems imaging inc,1,1,0,2,0.94,False,,Leica Biosystems,applicant_names,company_alias
uspto,19537201,19537201,US20260179748A1,,Monitoring System and Method for Biopharmaceutical Products,2026-02-11,2026,2026-06-25,,Cytiva Sweden AB,Cytiva Sweden AB,,,Utility,https://patentcenter.uspto.gov/applications/19537201,2026,DHR,Danaher,Cytiva,Cytiva,,cytiva,applicant_names; first_applicant,company_alias,generic_mention,cytiva sweden ab,1,1,0,2,0.94,True,single_token_term,Cytiva,applicant_names,company_alias
uspto,19537283,19537283,US20260176299A1,,METHOD FOR SEPARATING BIOMOLECULES,2026-02-11,2026,2026-06-25,,CYTIVA SWEDEN AB,CYTIVA SWEDEN AB,,,Utility,https://patentcenter.uspto.gov/applications/19537283,2026,DHR,Danaher,Cytiva,Cytiva,,cytiva,applicant_names; first_applicant,company_alias,generic_mention,cytiva sweden ab,1,1,0,2,0.94,True,single_token_term,Cytiva,applicant_names,company_alias
uspto,19541079,19541079,US20260175066A1,,Barbell,2026-02-16,2026,2026-06-25,,Coulter Ventures LLC,Coulter Ventures LLC,,,Utility,https://patentcenter.uspto.gov/applications/19541079,2026,DHR,Danaher,Coulter,Coulter,,coulter,applicant_names; first_applicant,company_alias,generic_mention,coulter ventures llc,1,1,0,2,0.48,True,context_required_term; single_token_term; low_confidence,Coulter,applicant_names,company_alias
uspto,19546088,19546088,US20260185928A1,,METHOD AND SYSTEM FOR CLASSIFYING MONITORED MOLECULAR INTERACTIONS,2026-02-20,2026,2026-07-02,,CYTIVA SWEDEN AB,CYTIVA SWEDEN AB,,,Utility,https://patentcenter.uspto.gov/applications/19546088,2026,DHR,Danaher,Cytiva,Cytiva,,cytiva,applicant_names; first_applicant,company_alias,generic_mention,cytiva sweden ab,1,1,0,2,0.94,True,single_token_term,Cytiva,applicant_names,company_alias
uspto,19562537,19562537,US20260199875A1,,"Chromatography Beads, Production and Use Threreof",2026-03-10,2026,2026-07-16,,Cytiva BioProcess R&D AB,Cytiva BioProcess R&D AB,,,Utility,https://patentcenter.uspto.gov/applications/19562537,2026,DHR,Danaher,Cytiva,Cytiva,,cytiva,applicant_names; first_applicant,company_alias,generic_mention,cytiva bioprocess r and d ab,1,1,0,2,0.94,True,single_token_term,Cytiva,applicant_names,company_alias
uspto,19571266,19571266,US20260210347A1,,Diaphragm Pump,2026-03-18,2026,2026-07-23,,Cytiva Sweden AB,Cytiva Sweden AB,,,Utility,https://patentcenter.uspto.gov/applications/19571266,2026,DHR,Danaher,Cytiva,Cytiva,,cytiva,applicant_names; first_applicant,company_alias,generic_mention,cytiva sweden ab,1,1,0,2,0.94,True,single_token_term,Cytiva,applicant_names,company_alias
uspto,19571877,19571877,US20260210938A1,,SENSOR ASSEMBLY AND POROUS MEMBRANE SENSOR ELEMENT,2026-03-19,2026,2026-07-23,,Radiometer Medical ApS,Radiometer Medical ApS,,,Utility,https://patentcenter.uspto.gov/applications/19571877,2026,DHR,Danaher,Radiometer,Radiometer,,radiometer,applicant_names; first_applicant,company_alias,generic_mention,radiometer medical aps,1,1,0,2,0.53,True,context_required_term; single_token_term; low_confidence,Radiometer,applicant_names,company_alias
uspto,PCTUS2026010259,PCTUS2026010259,,,FAST RESPIRATORY ASSAY,2026-01-06,2026,,,CEPHEID,CEPHEID,,,PCT,https://patentcenter.uspto.gov/applications/PCTUS2026010259,2026,DHR,Danaher,Cepheid,Cepheid,,cepheid,applicant_names; first_applicant,company_alias,generic_mention,cepheid,1,1,0,2,0.93,True,single_token_term,Cepheid,applicant_names,company_alias
uspto,PCTUS2026010313,PCTUS2026010313,,,ULTRAFAST AMPLIFICATION OF NUCLEIC ACIDS,2026-01-06,2026,,,CEPHEID,CEPHEID,,,PCT,https://patentcenter.uspto.gov/applications/PCTUS2026010313,2026,DHR,Danaher,Cepheid,Cepheid,,cepheid,applicant_names; first_applicant,company_alias,generic_mention,cepheid,1,1,0,2,0.93,True,single_token_term,Cepheid,applicant_names,company_alias
uspto,19444374,19444374,US20260132442A1,,SPATIALLY RESOLVED SURFACE CAPTURE OF NUCLEIC ACIDS,2026-01-09,2026,2026-05-14,,"Element Biosciences, Inc.","Element Biosciences, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/19444374,2026,ELEMENT,Element Biosciences,Element Biosciences; Element Biosciences Inc,Element Biosciences; Element Biosciences Inc,,element biosciences; element biosciences inc,applicant_names; first_applicant,company_alias,generic_mention,element biosciences inc,2,2,0,4,0.9,False,,Element Biosciences,applicant_names,company_alias
