random_rank,attempt_number,doi,version,preprint_date,category,title,fulltext_ok,fulltext_source,fulltext_url,paper_url,doi_url,result_rows_for_paper,failure_reason,processed_at_utc
16,16,10.1101/2022.02.14.480435,1,2022-02-16,bioinformatics,SciViewer- An interactive browser for visualizing single cell datasets,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/16/2022.02.14.480435.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.14.480435,https://doi.org/10.1101/2022.02.14.480435,0,,2026-07-18T01:34:15.788515+00:00
17,17,10.1101/2022.12.13.519803,1,2022-12-15,evolutionary biology,Maternal control of spontaneous dormancy termination in Daphnia pulex,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/15/2022.12.13.519803.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.13.519803,https://doi.org/10.1101/2022.12.13.519803,0,,2026-07-18T01:34:29.359887+00:00
18,18,10.1101/2022.05.10.491331,1,2022-05-11,bioinformatics,CAMML with the Integration of Marker Proteins (ChIMP),true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/11/2022.05.10.491331.source.xml,https://www.biorxiv.org/content/10.1101/2022.05.10.491331,https://doi.org/10.1101/2022.05.10.491331,0,,2026-07-18T01:34:41.438693+00:00
19,19,10.1101/2022.12.06.519416,1,2022-12-07,ecology,Identifying the most probable mammal reservoir hosts for Monkeypox virus based on ecological niche comparisons,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/07/2022.12.06.519416.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.06.519416,https://doi.org/10.1101/2022.12.06.519416,0,,2026-07-18T01:34:58.359067+00:00
20,20,10.1101/2022.01.19.474897,1,2022-01-21,cancer biology,"Immunotherapy of glioblastoma explants induces interferon-γ responses and immune cell rearrangements in tumor center, but not periphery",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/21/2022.01.19.474897.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.19.474897,https://doi.org/10.1101/2022.01.19.474897,4,,2026-07-18T01:35:15.477083+00:00
21,21,10.1101/2022.03.03.482921,1,2022-03-04,ecology,A new method to estimate the ecological niche through n-dimensional hypervolumes that combines convex hulls and elliptical envelopes,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/04/2022.03.03.482921.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.03.482921,https://doi.org/10.1101/2022.03.03.482921,0,,2026-07-18T01:35:29.177767+00:00
22,22,10.1101/2022.01.15.476450,1,2022-01-18,physiology,Differential Impact of Doxorubicin Dose on Cell Death and Autophagy Pathways during Acute Cardiotoxicity.,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/18/2022.01.15.476450.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.15.476450,https://doi.org/10.1101/2022.01.15.476450,4,,2026-07-18T01:35:43.310339+00:00
23,23,10.1101/2022.03.10.483890,3,2022-10-01,immunology,Influenza A Virus Exacerbates Group A Streptococcus Infection and Thwarts Anti-bacterial Inflammatory Responses in Murine Macrophages,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/01/2022.03.10.483890.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.10.483890,https://doi.org/10.1101/2022.03.10.483890,5,,2026-07-18T01:36:02.477827+00:00
24,24,10.1101/2022.11.18.517124,1,2022-11-20,evolutionary biology,Strong selection is poorly aligned with genetic variation in Ipomoea hederacea: implications for divergence and constraint,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/11/20/2022.11.18.517124.source.xml,https://www.biorxiv.org/content/10.1101/2022.11.18.517124,https://doi.org/10.1101/2022.11.18.517124,1,,2026-07-18T01:36:20.060616+00:00
25,25,10.1101/2022.02.28.482382,2,2022-03-10,neuroscience,Chronic methamphetamine administration produces cognitive deficits through augmentation of GABAergic synaptic transmission in the prefrontal cortex,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/10/2022.02.28.482382.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.28.482382,https://doi.org/10.1101/2022.02.28.482382,2,,2026-07-18T01:36:37.786059+00:00
26,26,10.1101/2022.10.27.513984,2,2022-10-29,neuroscience,Within-animal comparison of microdialysis and fiber photometry in amphetamine-exposed mice,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/29/2022.10.27.513984.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.27.513984,https://doi.org/10.1101/2022.10.27.513984,0,,2026-07-18T01:36:52.459829+00:00
27,27,10.1101/2022.03.15.481403,1,2022-03-16,microbiology,A potential interacting network identified by quantitative proteomics for the sole adenylyl cyclase Cyr1 of Candida albicans,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/16/2022.03.15.481403.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.15.481403,https://doi.org/10.1101/2022.03.15.481403,3,,2026-07-18T01:37:04.513327+00:00
28,28,10.1101/2022.09.24.509346,1,2022-09-25,genetics,The Effect of Repeat Length on Marcal1-Dependent Single-Strand Annealing in Drosophila,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/09/25/2022.09.24.509346.source.xml,https://www.biorxiv.org/content/10.1101/2022.09.24.509346,https://doi.org/10.1101/2022.09.24.509346,1,,2026-07-18T01:37:16.079016+00:00
29,29,10.1101/2022.05.23.493014,1,2022-05-24,bioinformatics,The Cancermuts software package for the prioritization of missense cancer variants: a case study of AMBRA1 in melanoma,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/24/2022.05.23.493014.source.xml,https://www.biorxiv.org/content/10.1101/2022.05.23.493014,https://doi.org/10.1101/2022.05.23.493014,3,,2026-07-18T01:37:35.740366+00:00
30,30,10.1101/2021.12.06.471473,2,2022-06-17,cell biology,Ca2+ Mediates HIF-dependent Upregulation of Aquaporin 1 in Pulmonary Arterial Smooth Muscle Cells,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/06/17/2021.12.06.471473.source.xml,https://www.biorxiv.org/content/10.1101/2021.12.06.471473,https://doi.org/10.1101/2021.12.06.471473,6,,2026-07-18T01:37:51.924755+00:00
31,31,10.1101/2021.11.26.470105,3,2022-08-03,biophysics,"Mars, a molecule archive suite for reproducible analysis and reporting of single molecule properties from bioimages",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/03/2021.11.26.470105.source.xml,https://www.biorxiv.org/content/10.1101/2021.11.26.470105,https://doi.org/10.1101/2021.11.26.470105,0,,2026-07-18T01:38:11.099920+00:00
32,32,10.1101/2022.10.17.512617,1,2022-10-18,microbiology,Infection of primary nasal epithelial cells differentiates among lethal and seasonal human coronaviruses,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/18/2022.10.17.512617.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.17.512617,https://doi.org/10.1101/2022.10.17.512617,4,,2026-07-18T01:38:26.591546+00:00
33,33,10.1101/2021.11.15.468705,3,2022-01-04,genomics,The evolution of widespread recombination suppression on the Dwarf Hamster (Phodopus) X chromosome,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/04/2021.11.15.468705.source.xml,https://www.biorxiv.org/content/10.1101/2021.11.15.468705,https://doi.org/10.1101/2021.11.15.468705,4,,2026-07-18T01:38:43.444684+00:00
34,34,10.1101/2022.08.31.505844,2,2022-11-08,neuroscience,Excitation creates a distributed pattern of cortical suppression due to varied recurrent input,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/11/08/2022.08.31.505844.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.31.505844,https://doi.org/10.1101/2022.08.31.505844,1,,2026-07-18T01:39:01.378664+00:00
35,35,10.1101/2022.12.01.518577,1,2022-12-01,neuroscience,Filter-based models of suppression in retinal ganglion cells: comparison and generalization across species and stimuli,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/01/2022.12.01.518577.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.01.518577,https://doi.org/10.1101/2022.12.01.518577,0,,2026-07-18T01:39:13.530840+00:00
36,36,10.1101/2022.06.08.495340,2,2022-08-27,synthetic biology,Optimizing CpG spatial distribution with DNA origami for Th1-polarized therapeutic vaccination,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/27/2022.06.08.495340.source.xml,https://www.biorxiv.org/content/10.1101/2022.06.08.495340,https://doi.org/10.1101/2022.06.08.495340,6,,2026-07-18T01:39:26.543583+00:00
37,37,10.1101/2022.01.08.475512,1,2022-01-10,animal behavior and cognition,Visual threats reduce blood-feeding and trigger escape responses in Aedes aegypti mosquitoes.,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/10/2022.01.08.475512.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.08.475512,https://doi.org/10.1101/2022.01.08.475512,1,,2026-07-18T01:39:37.605289+00:00
38,38,10.1101/2022.08.30.505861,1,2022-08-30,bioengineering,"A confinable female-lethal population suppression system in the malaria vector, Anopheles gambiae",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/30/2022.08.30.505861.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.30.505861,https://doi.org/10.1101/2022.08.30.505861,6,,2026-07-18T01:44:49.111587+00:00
39,39,10.1101/2022.01.09.475429,1,2022-01-11,developmental biology,Mechanics of human embryo compaction,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/11/2022.01.09.475429.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.09.475429,https://doi.org/10.1101/2022.01.09.475429,0,,2026-07-18T01:45:05.393794+00:00
40,40,10.1101/2022.04.13.488221,1,2022-04-14,microbiology,"Determinants of Spike Infectivity, Processing and Neutralization in SARS-CoV-2 Omicron subvariants BA.1 and BA.2",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/14/2022.04.13.488221.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.13.488221,https://doi.org/10.1101/2022.04.13.488221,0,,2026-07-18T01:45:25.043784+00:00
41,41,10.1101/2022.11.29.518044,1,2022-12-02,animal behavior and cognition,A Proximity Sensor-Based Multipurpose Object Recognition Test System for Rodent Behavior Research,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/02/2022.11.29.518044.source.xml,https://www.biorxiv.org/content/10.1101/2022.11.29.518044,https://doi.org/10.1101/2022.11.29.518044,0,,2026-07-18T01:45:35.671270+00:00
42,42,10.1101/2022.07.25.501345,1,2022-07-26,molecular biology,VCP/p97 extracts DNA polymerase alfa/Primase from chromatin to limit the activation of the replication stress response,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/26/2022.07.25.501345.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.25.501345,https://doi.org/10.1101/2022.07.25.501345,6,,2026-07-18T01:45:48.301097+00:00
43,43,10.1101/2022.06.27.497701,1,2022-06-29,scientific communication and education,"Biofilms with a dash of color: A hands-on activity for school students to build a biofilm model, and use it to understand antibiotic tolerance in biofilms",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/06/29/2022.06.27.497701.source.xml,https://www.biorxiv.org/content/10.1101/2022.06.27.497701,https://doi.org/10.1101/2022.06.27.497701,0,,2026-07-18T01:46:01.450824+00:00
44,44,10.1101/2022.07.21.501059,1,2022-07-22,biochemistry,Molecular dynamics study of phospholipid membrane electroporation induced by bipolar pulses with different intervals,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/22/2022.07.21.501059.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.21.501059,https://doi.org/10.1101/2022.07.21.501059,0,,2026-07-18T01:46:13.384672+00:00
45,45,10.1101/2022.01.27.477989,1,2022-01-28,neuroscience,Acute Axon Damage and Demyelination are Mitigated by 4-Aminopyridine (4-AP) Therapy after Experimental Traumatic Brain Injury,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/28/2022.01.27.477989.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.27.477989,https://doi.org/10.1101/2022.01.27.477989,2,,2026-07-18T01:46:32.060070+00:00
46,46,10.1101/2022.07.19.500581,1,2022-07-20,immunology,Glucocorticoid signaling mediates CD8+ T cell memory differentiation,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/20/2022.07.19.500581.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.19.500581,https://doi.org/10.1101/2022.07.19.500581,0,,2026-07-18T01:46:43.093503+00:00
47,47,10.1101/2022.02.14.480323,1,2022-02-15,bioinformatics,uniPort: a unified computational framework for single-cell data integration with optimal transport,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/15/2022.02.14.480323.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.14.480323,https://doi.org/10.1101/2022.02.14.480323,1,,2026-07-18T01:47:00.290259+00:00
48,48,10.1101/2022.06.03.494747,1,2022-06-04,microbiology,Screening the PRISM library against Staphylococcus aureus reveals a sesquiterpene lactone from Liriodendron tulipifera with inhibitory activity,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/06/04/2022.06.03.494747.source.xml,https://www.biorxiv.org/content/10.1101/2022.06.03.494747,https://doi.org/10.1101/2022.06.03.494747,3,,2026-07-18T01:47:11.749199+00:00
49,49,10.1101/2022.06.02.494614,1,2022-06-04,genetics,Data-driven machine learning for pattern recognition supports environmental quality prediction for irrigated rice in Brazil,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/06/04/2022.06.02.494614.source.xml,https://www.biorxiv.org/content/10.1101/2022.06.02.494614,https://doi.org/10.1101/2022.06.02.494614,0,,2026-07-18T01:47:28.960215+00:00
50,50,10.1101/2022.04.11.487951,1,2022-04-12,neuroscience,A deep learning-based automated closed-loop optogenetic system for neuromodulation during seizures,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/12/2022.04.11.487951.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.11.487951,https://doi.org/10.1101/2022.04.11.487951,0,,2026-07-18T01:47:41.034051+00:00
51,51,10.1101/2022.07.21.500684,1,2022-07-22,plant biology,Contribution of Signaling Partner Association to Strigolactone Receptor Selectivity,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/22/2022.07.21.500684.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.21.500684,https://doi.org/10.1101/2022.07.21.500684,0,,2026-07-18T01:47:56.627519+00:00
52,52,10.1101/2022.10.03.510626,2,2022-12-04,biophysics,Entropic control of the free energy landscape of an archetypal biomolecular machine,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/04/2022.10.03.510626.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.03.510626,https://doi.org/10.1101/2022.10.03.510626,1,,2026-07-18T01:48:08.647165+00:00
53,53,10.1101/2022.05.18.491978,1,2022-05-19,neuroscience,Emergent low-frequency activity in cortico-cerebellar networks with motor skill learning,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/19/2022.05.18.491978.source.xml,https://www.biorxiv.org/content/10.1101/2022.05.18.491978,https://doi.org/10.1101/2022.05.18.491978,0,,2026-07-18T01:48:26.912967+00:00
