random_rank,attempt_number,doi,version,preprint_date,category,title,fulltext_ok,fulltext_source,fulltext_url,paper_url,doi_url,result_rows_for_paper,failure_reason,processed_at_utc
1430,1430,10.1101/2022.10.21.513233,1,2022-10-22,molecular biology,Structural and functional basis of the universal transcription factor NusG pro-pausing activity in Mycobacterium tuberculosis,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/22/2022.10.21.513233.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.21.513233,https://doi.org/10.1101/2022.10.21.513233,1,,2026-07-18T07:58:53.419313+00:00
1431,1431,10.1101/2022.12.12.519811,1,2022-12-14,evolutionary biology,Lacustrine speciation associated with chromosomal inversion in a lineage of riverine fishes,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/14/2022.12.12.519811.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.12.519811,https://doi.org/10.1101/2022.12.12.519811,5,,2026-07-18T07:59:05.153810+00:00
1432,1432,10.1101/2021.09.22.460906,2,2022-02-12,neuroscience,Periodic attention operates faster during more complex visual search,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/12/2021.09.22.460906.source.xml,https://www.biorxiv.org/content/10.1101/2021.09.22.460906,https://doi.org/10.1101/2021.09.22.460906,0,,2026-07-18T07:59:16.551241+00:00
1433,1433,10.1101/2022.02.13.480267,1,2022-02-13,biochemistry,High-Resolution Tandem Mass Spectrometry Indicates Rubisco Activase is Associated with PS I-LHC I-LHC II Membranes,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/13/2022.02.13.480267.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.13.480267,https://doi.org/10.1101/2022.02.13.480267,1,,2026-07-18T07:59:30.399978+00:00
1434,1434,10.1101/2021.12.07.471613,3,2022-03-25,cancer biology,Topology and adenocarcinoma cell localization dataset on the labyrinthin biomarker.,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/25/2021.12.07.471613.source.xml,https://www.biorxiv.org/content/10.1101/2021.12.07.471613,https://doi.org/10.1101/2021.12.07.471613,0,,2026-07-18T07:59:49.282132+00:00
1435,1435,10.1101/2022.12.21.521479,1,2022-12-22,neuroscience,7-Tesla evidence for columnar and rostral--caudal organization of the human periaqueductal grey response in the absence of threat: a working memory study,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/22/2022.12.21.521479.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.21.521479,https://doi.org/10.1101/2022.12.21.521479,0,,2026-07-18T08:00:04.442070+00:00
1436,1436,10.1101/2022.08.25.505314,1,2022-08-26,evolutionary biology,Widespread horizontal gene transfer between plants and their microbiota,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/26/2022.08.25.505314.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.25.505314,https://doi.org/10.1101/2022.08.25.505314,0,,2026-07-18T08:00:19.164173+00:00
1437,1437,10.1101/2022.08.19.504572,1,2022-08-20,cell biology,Gigaxonin is required for intermediate filament transport,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/20/2022.08.19.504572.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.19.504572,https://doi.org/10.1101/2022.08.19.504572,2,,2026-07-18T08:00:33.295820+00:00
1438,1438,10.1101/2022.10.07.511381,1,2022-10-08,neuroscience,"Pantr2, a trans-acting lncRNA, modulates the differentiation potential of neural progenitors in vivo",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/08/2022.10.07.511381.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.07.511381,https://doi.org/10.1101/2022.10.07.511381,5,,2026-07-18T08:00:44.233468+00:00
1439,1439,10.1101/2022.08.09.503382,1,2022-08-11,neuroscience,Enhancing adult neuroplasticity by epigenetic regulation of Parvalbumin-expressing GABAergic cells,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/11/2022.08.09.503382.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.09.503382,https://doi.org/10.1101/2022.08.09.503382,5,,2026-07-18T08:01:02.815268+00:00
1440,1440,10.1101/2022.02.12.480218,1,2022-02-14,immunology,Distinct upper airway epithelium interferon-stimulated and profibrotic gene expression between adult and infant rhesus macaques infected with SARS-CoV-2,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/14/2022.02.12.480218.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.12.480218,https://doi.org/10.1101/2022.02.12.480218,7,,2026-07-18T08:01:19.951950+00:00
1441,1441,10.1101/2022.03.04.483056,1,2022-03-05,neuroscience,Design of the mammalian cone photoreceptor to Off bipolar cell synapse,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/05/2022.03.04.483056.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.04.483056,https://doi.org/10.1101/2022.03.04.483056,0,,2026-07-18T08:01:39.422475+00:00
1442,1442,10.1101/2022.11.15.516593,1,2022-11-15,developmental biology,The UBP5 histone H2A deubiquitinase counteracts PRC2-mediated repression to regulate Arabidopsis development and stress responses,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/11/15/2022.11.15.516593.source.xml,https://www.biorxiv.org/content/10.1101/2022.11.15.516593,https://doi.org/10.1101/2022.11.15.516593,5,,2026-07-18T08:01:51.583090+00:00
1443,1443,10.1101/2022.11.22.517562,1,2022-11-24,bioinformatics,MerCat2: a versatile k-mer counter and diversity estimator for database-independent property analysis obtained from omics data,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/11/24/2022.11.22.517562.source.xml,https://www.biorxiv.org/content/10.1101/2022.11.22.517562,https://doi.org/10.1101/2022.11.22.517562,0,,2026-07-18T08:02:06.125379+00:00
1444,1444,10.1101/2021.09.16.460607,3,2022-07-14,cell biology,Helical metaphase chromatid coiling is conserved,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/14/2021.09.16.460607.source.xml,https://www.biorxiv.org/content/10.1101/2021.09.16.460607,https://doi.org/10.1101/2021.09.16.460607,1,,2026-07-18T08:02:24.598194+00:00
1445,1445,10.1101/2022.04.28.489877,2,2022-09-16,evolutionary biology,Developmental changes of opsin gene expression in ray-finned fishes (Actinopterygii),true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/09/16/2022.04.28.489877.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.28.489877,https://doi.org/10.1101/2022.04.28.489877,4,,2026-07-18T08:02:37.555767+00:00
1446,1446,10.1101/2022.03.09.483665,1,2022-03-12,bioinformatics,Accurate in silico confirmation of rare copy number variant calls from exome sequencing data using transfer learning,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/12/2022.03.09.483665.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.09.483665,https://doi.org/10.1101/2022.03.09.483665,3,,2026-07-18T08:02:57.016163+00:00
1447,1447,10.1101/2022.02.05.479227,1,2022-02-08,neuroscience,Neural responses to broadband visual flicker in marmoset primary visual cortex,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/08/2022.02.05.479227.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.05.479227,https://doi.org/10.1101/2022.02.05.479227,0,,2026-07-18T08:03:11.402618+00:00
1448,1448,10.1101/2022.07.27.501678,1,2022-07-28,developmental biology,"CTCF, BEAF-32 and CP190 are not required for the initial establishment of TADs in early Drosophila embryos, but have locus specific roles",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/28/2022.07.27.501678.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.27.501678,https://doi.org/10.1101/2022.07.27.501678,5,,2026-07-18T08:03:27.657621+00:00
1449,1449,10.1101/2022.05.02.490291,1,2022-05-02,cell biology,In situ structural analysis reveals membrane shape transitions during autophagosome formation,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/02/2022.05.02.490291.source.xml,https://www.biorxiv.org/content/10.1101/2022.05.02.490291,https://doi.org/10.1101/2022.05.02.490291,2,,2026-07-18T08:03:46.478941+00:00
1450,1450,10.1101/2022.06.02.494526,1,2022-06-04,immunology,Distinct Single-cell Immune Ecosystems Distinguish True and De Novo HBV-related Hepatocellular Carcinoma Recurrences,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/06/04/2022.06.02.494526.source.xml,https://www.biorxiv.org/content/10.1101/2022.06.02.494526,https://doi.org/10.1101/2022.06.02.494526,1,,2026-07-18T08:04:00.303599+00:00
1451,1451,10.1101/2022.02.12.480202,2,2022-05-07,neuroscience,Enhanced Sodium Channel Inactivation by Temperature and FHF2 Deficiency Blocks Heat Nociception,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/07/2022.02.12.480202.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.12.480202,https://doi.org/10.1101/2022.02.12.480202,2,,2026-07-18T08:04:19.651035+00:00
1452,1452,10.1101/2022.03.11.484008,1,2022-03-12,zoology,Use of Avian Adeno-Associated Virus for the Delivery of Transgenes to Pekin Duck Cells in vitro and in vivo,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/12/2022.03.11.484008.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.11.484008,https://doi.org/10.1101/2022.03.11.484008,0,,2026-07-18T08:04:34.039456+00:00
1453,1453,10.1101/2022.04.26.489590,1,2022-04-26,immunology,Pseudomonas aeruginosa Elicits Sustained IL-1β Upregulation in Alveolar Macrophages from Lung Transplant Recipients,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/26/2022.04.26.489590.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.26.489590,https://doi.org/10.1101/2022.04.26.489590,2,,2026-07-18T08:04:52.819301+00:00
1454,1454,10.1101/2022.08.16.504104,2,2022-11-10,bioinformatics,Using Machine Learning to identify microRNA biomarkers for predisposition to Huntington's Disease,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/11/10/2022.08.16.504104.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.16.504104,https://doi.org/10.1101/2022.08.16.504104,0,,2026-07-18T08:05:04.596023+00:00
1455,1455,10.1101/2022.04.07.487473,1,2022-04-10,neuroscience,Unmasking hidden changes in intrinsic properties in neurons that coordinate oscillatory networks,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/10/2022.04.07.487473.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.07.487473,https://doi.org/10.1101/2022.04.07.487473,2,,2026-07-18T08:05:20.164628+00:00
1456,1456,10.1101/2022.03.01.482527,1,2022-03-03,cell biology,The GEF-GAP pair Solo and DLC3 balances Rho activity during endocytic transport,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/03/2022.03.01.482527.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.01.482527,https://doi.org/10.1101/2022.03.01.482527,6,,2026-07-18T08:05:37.610977+00:00
1457,1457,10.1101/2022.05.25.493323,1,2022-05-25,ecology,ReSurveyGermany: Vegetation-plot time-series over the past hundred years in Germany,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/25/2022.05.25.493323.source.xml,https://www.biorxiv.org/content/10.1101/2022.05.25.493323,https://doi.org/10.1101/2022.05.25.493323,0,,2026-07-18T08:05:50.708408+00:00
1458,1458,10.1101/2022.06.21.496616,1,2022-06-24,genetics,"De Novo, Post-Zygotic, Inter-Tissue Mosaicism of Cell Autonomous ADNP Mutations in Autistic Individuals: Restricted Environmental Contribution",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/06/24/2022.06.21.496616.source.xml,https://www.biorxiv.org/content/10.1101/2022.06.21.496616,https://doi.org/10.1101/2022.06.21.496616,3,,2026-07-18T08:06:07.907164+00:00
1459,1459,10.1101/2022.07.12.499603,1,2022-07-12,microbiology,Enhanced innate immune suppression by SARS-CoV-2 Omicron subvariants BA.4 and BA.5,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/12/2022.07.12.499603.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.12.499603,https://doi.org/10.1101/2022.07.12.499603,0,,2026-07-18T08:06:24.974096+00:00
1460,1460,10.1101/2022.11.08.515662,1,2022-11-08,biophysics,RAD-TGTs: Measurement of cellular tensions via flow cytometry and DNA sequencing enabled by force-dependent rupture and delivery of DNA tension probes,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/11/08/2022.11.08.515662.source.xml,https://www.biorxiv.org/content/10.1101/2022.11.08.515662,https://doi.org/10.1101/2022.11.08.515662,4,,2026-07-18T08:06:43.315014+00:00
1461,1461,10.1101/2022.01.08.475499,2,2022-01-12,bioengineering,Lipid nanoparticles delivering constitutively active STING mRNA as a novel anti-cancer therapeutic approach,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/12/2022.01.08.475499.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.08.475499,https://doi.org/10.1101/2022.01.08.475499,2,,2026-07-18T08:06:54.090620+00:00
1462,1462,10.1101/2022.02.01.478673,1,2022-02-02,evolutionary biology,Genomic and phenotypic analyses suggest moderate fitness differences among Zika virus lineages,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/02/2022.02.01.478673.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.01.478673,https://doi.org/10.1101/2022.02.01.478673,2,,2026-07-18T08:07:05.849466+00:00
1463,1463,10.1101/2022.04.21.489109,1,2022-04-21,cancer biology,The kinase activity of the cancer stem cell marker DCLK1 drives gastric cancer progression by reprogramming the stromal tumor landscape,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/21/2022.04.21.489109.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.21.489109,https://doi.org/10.1101/2022.04.21.489109,6,,2026-07-18T08:07:16.932756+00:00
1464,1464,10.1101/2022.12.16.520784,1,2022-12-17,bioengineering,Improved humoral immunity and protection against influenza virus infection with a 3D porous biomaterial vaccine,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/17/2022.12.16.520784.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.16.520784,https://doi.org/10.1101/2022.12.16.520784,3,,2026-07-18T08:07:31.137528+00:00
1465,1465,10.1101/2022.04.21.489103,1,2022-04-22,neuroscience,Single-cell mosaicism analysis reveals cell-type-specific somatic mutational burden in Alzheimer's Dementia,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/22/2022.04.21.489103.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.21.489103,https://doi.org/10.1101/2022.04.21.489103,0,,2026-07-18T08:07:50.253069+00:00
1466,1466,10.1101/2022.12.19.520832,1,2022-12-19,neuroscience,Auditory cortical responses to speech are shaped by statistical learning of short-term speech input regularities,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/19/2022.12.19.520832.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.19.520832,https://doi.org/10.1101/2022.12.19.520832,0,,2026-07-18T08:08:09.590255+00:00
1467,1467,10.1101/2022.02.17.480723,2,2022-08-16,ecology,Modularity in temporal co-occurrence networks at a stopover site reveals strong co-migration fidelity in African-European migratory landbirds over time,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/16/2022.02.17.480723.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.17.480723,https://doi.org/10.1101/2022.02.17.480723,0,,2026-07-18T08:08:23.566599+00:00
1468,1468,10.1101/2022.05.20.492841,2,2022-09-19,cell biology,Art2 mediates selective endocytosis of methionine transporters during adaptation to sphingolipid depletion,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/09/19/2022.05.20.492841.source.xml,https://www.biorxiv.org/content/10.1101/2022.05.20.492841,https://doi.org/10.1101/2022.05.20.492841,3,,2026-07-18T08:08:36.227284+00:00
1469,1469,10.1101/2022.03.01.482520,1,2022-03-04,animal behavior and cognition,Gap selection and steering during obstacle avoidance in pigeons,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/04/2022.03.01.482520.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.01.482520,https://doi.org/10.1101/2022.03.01.482520,0,,2026-07-18T08:08:50.091731+00:00
1470,1470,10.1101/2022.07.30.502114,1,2022-08-02,bioinformatics,DBP2Vec: Predicting DNA-binding proteins directly using pre-trained protein language model,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/02/2022.07.30.502114.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.30.502114,https://doi.org/10.1101/2022.07.30.502114,0,,2026-07-18T08:09:10.244010+00:00
1471,1471,10.1101/2022.03.09.483648,2,2022-07-25,neuroscience,Neuron-derived Thioredoxin-80: a novel regulator of type-I interferon response in microglia,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/25/2022.03.09.483648.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.09.483648,https://doi.org/10.1101/2022.03.09.483648,8,,2026-07-18T08:09:27.721833+00:00
1472,1472,10.1101/2022.05.11.491478,1,2022-05-11,genomics,Genome assembly and analysis of the flavonoid and phenylpropanoid biosynthetic pathways in Fingerroot ginger (Boesenbergia rotunda),true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/11/2022.05.11.491478.source.xml,https://www.biorxiv.org/content/10.1101/2022.05.11.491478,https://doi.org/10.1101/2022.05.11.491478,6,,2026-07-18T08:09:41.420001+00:00
1473,1473,10.1101/2021.10.25.465771,2,2022-05-11,cancer biology,BET Inhibitors Target the SCLC-N subtype Small Cell Lung Cancer by Blocking NEUROD1 Transactivation,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/11/2021.10.25.465771.source.xml,https://www.biorxiv.org/content/10.1101/2021.10.25.465771,https://doi.org/10.1101/2021.10.25.465771,4,,2026-07-18T08:09:51.268723+00:00
1474,1474,10.1101/2022.02.18.481001,1,2022-02-20,neuroscience,A Methodological Framework to Assess the Accuracy of Virtual Reality Hand-Tracking Systems: A case study with the Oculus Quest 2,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/20/2022.02.18.481001.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.18.481001,https://doi.org/10.1101/2022.02.18.481001,0,,2026-07-18T08:10:07.352844+00:00
1475,1475,10.1101/2022.07.30.502169,2,2022-08-05,neuroscience,Decoding Subject's Own Name in the Primary Auditory Cortex,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/05/2022.07.30.502169.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.30.502169,https://doi.org/10.1101/2022.07.30.502169,0,,2026-07-18T08:10:22.862315+00:00
1476,1476,10.1101/2022.10.06.511234,1,2022-10-07,neuroscience,Dopamine signaling regulates predator-driven behavioral changes in Caenorhabditis elegans,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/07/2022.10.06.511234.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.06.511234,https://doi.org/10.1101/2022.10.06.511234,1,,2026-07-18T08:10:41.107428+00:00
1477,1477,10.1101/2022.07.06.498169,1,2022-07-11,plant biology,An updated nomenclature for plant ribosomal protein genes,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/11/2022.07.06.498169.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.06.498169,https://doi.org/10.1101/2022.07.06.498169,0,,2026-07-18T08:10:52.479583+00:00
1478,1478,10.1101/2022.09.26.509568,1,2022-09-27,ecology,Seasonal models reveal niche changes in Capsella bursa-pastoris,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/09/27/2022.09.26.509568.source.xml,https://www.biorxiv.org/content/10.1101/2022.09.26.509568,https://doi.org/10.1101/2022.09.26.509568,0,,2026-07-18T08:11:11.498586+00:00
1479,1479,10.1101/2022.10.28.514187,1,2022-10-30,microbiology,Formation and three-dimensional architecture of Leishmania adhesion in the sand fly vector,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/30/2022.10.28.514187.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.28.514187,https://doi.org/10.1101/2022.10.28.514187,1,,2026-07-18T08:11:24.829415+00:00
1480,1480,10.1101/2022.01.30.478367,1,2022-02-01,bioinformatics,HiC-LDNet: A general and robust deep learning framework for accurate chromatin loop detection in genome-wide contact maps,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/01/2022.01.30.478367.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.30.478367,https://doi.org/10.1101/2022.01.30.478367,0,,2026-07-18T08:11:37.703733+00:00
1481,1481,10.1101/2022.01.24.477597,1,2022-01-26,immunology,Unadjuvanted intranasal spike vaccine booster elicits robust protective mucosal immunity against sarbecoviruses,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/26/2022.01.24.477597.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.24.477597,https://doi.org/10.1101/2022.01.24.477597,4,,2026-07-18T08:11:52.289531+00:00
1482,1482,10.1101/2022.09.27.509553,1,2022-09-28,molecular biology,The RNA binding proteins ZFP36L1 and ZFP36L2 modulate transcriptional and post-transcriptional genome-wide effects of glucocorticoids,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/09/28/2022.09.27.509553.source.xml,https://www.biorxiv.org/content/10.1101/2022.09.27.509553,https://doi.org/10.1101/2022.09.27.509553,7,,2026-07-18T08:12:02.717625+00:00
1483,1483,10.1101/2022.02.25.481927,1,2022-02-28,evolutionary biology,Biogeographical history shapes evolution of reproduction in a global warming scenario,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/28/2022.02.25.481927.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.25.481927,https://doi.org/10.1101/2022.02.25.481927,0,,2026-07-18T08:12:13.478426+00:00
1484,1484,10.1101/2022.04.21.489032,1,2022-04-21,ecology,Breakpoint models shown no evidence of thresholds in recreational response to increasing wildfire smoke in the American West,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/21/2022.04.21.489032.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.21.489032,https://doi.org/10.1101/2022.04.21.489032,0,,2026-07-18T08:12:30.847729+00:00
1485,1485,10.1101/2022.02.04.479202,1,2022-02-06,evolutionary biology,Evolutionary quantitative proteomics of reproductive interactions in Drosophila,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/06/2022.02.04.479202.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.04.479202,https://doi.org/10.1101/2022.02.04.479202,4,,2026-07-18T08:12:41.127366+00:00
1486,1486,10.1101/2022.06.23.497357,1,2022-06-23,biochemistry,Structural stability of Human serum albumin is modified in rheumatoid arthritis,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/06/23/2022.06.23.497357.source.xml,https://www.biorxiv.org/content/10.1101/2022.06.23.497357,https://doi.org/10.1101/2022.06.23.497357,3,,2026-07-18T08:12:58.625024+00:00
1487,1487,10.1101/2021.03.25.437032,3,2022-02-07,neuroscience,Dynamic distortion of orientationrepresentation after learning in the mouseprimary visual cortex,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/07/2021.03.25.437032.source.xml,https://www.biorxiv.org/content/10.1101/2021.03.25.437032,https://doi.org/10.1101/2021.03.25.437032,0,,2026-07-18T08:13:09.493750+00:00
1488,1488,10.1101/2022.07.21.501021,1,2022-07-22,bioinformatics,IMC-Denoise: a content aware denoising pipeline to enhance Imaging Mass Cytometry,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/22/2022.07.21.501021.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.21.501021,https://doi.org/10.1101/2022.07.21.501021,2,,2026-07-18T08:13:26.178236+00:00
1489,1489,10.1101/2022.10.07.511162,1,2022-10-07,bioengineering,Pixelated microfluidics for drug screening on tumour spheroids and ex vivo microdissected primary tissue,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/07/2022.10.07.511162.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.07.511162,https://doi.org/10.1101/2022.10.07.511162,2,,2026-07-18T08:13:42.749101+00:00
1490,1490,10.1101/2022.10.12.511771,1,2022-10-12,cell biology,The kleisin subunit controls the function of meiotic cohesins by determining the mode of DNA binding and differential regulation by SCC-2 and WAPL-1,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/12/2022.10.12.511771.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.12.511771,https://doi.org/10.1101/2022.10.12.511771,1,,2026-07-18T08:14:00.470234+00:00
1491,1491,10.1101/2021.07.18.452853,2,2022-08-30,bioinformatics,"Assessing and mitigating privacy risk of sparse, noisy genotypes by local alignment to haplotype databases",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/30/2021.07.18.452853.source.xml,https://www.biorxiv.org/content/10.1101/2021.07.18.452853,https://doi.org/10.1101/2021.07.18.452853,2,,2026-07-18T08:14:19.021291+00:00
1492,1492,10.1101/2022.09.09.506402,1,2022-09-10,neuroscience,Examining Litter Specific Variability in Mice and its Impact on Neurodevelopmental Studies,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/09/10/2022.09.09.506402.source.xml,https://www.biorxiv.org/content/10.1101/2022.09.09.506402,https://doi.org/10.1101/2022.09.09.506402,1,,2026-07-18T08:14:32.330476+00:00
1493,1493,10.1101/2022.01.04.474974,1,2022-01-05,molecular biology,Sequence assignment validation in cryo-EM models with checkMySequence,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/05/2022.01.04.474974.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.04.474974,https://doi.org/10.1101/2022.01.04.474974,0,,2026-07-18T08:14:47.568314+00:00
1494,1494,10.1101/2022.02.18.480830,1,2022-02-18,microbiology,The effect of cytoskeleton inhibitors on coccolith morphology in Coccolithus braarudii and Scyphosphaera apsteinii,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/18/2022.02.18.480830.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.18.480830,https://doi.org/10.1101/2022.02.18.480830,0,,2026-07-18T08:15:03.549490+00:00
1495,1495,10.1101/2022.07.06.499034,2,2022-08-26,neuroscience,Neurons protect themselves by active shrinkage upon axonal transection,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/26/2022.07.06.499034.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.06.499034,https://doi.org/10.1101/2022.07.06.499034,2,,2026-07-18T08:15:22.492278+00:00
1496,1496,10.1101/2022.11.28.518188,1,2022-11-28,microbiology,A dark matter in sake brewing: Origin of microbes producing a Kimoto-style fermentation starter,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/11/28/2022.11.28.518188.source.xml,https://www.biorxiv.org/content/10.1101/2022.11.28.518188,https://doi.org/10.1101/2022.11.28.518188,2,,2026-07-18T08:15:36.410065+00:00
1497,1497,10.1101/2022.04.27.489667,1,2022-04-28,genetics,Novel trans-translation-associated gene regulation revealed by prophage excision-triggered switching of ribosome rescue pathway,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/28/2022.04.27.489667.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.27.489667,https://doi.org/10.1101/2022.04.27.489667,0,,2026-07-18T08:15:49.335246+00:00
1498,1498,10.1101/2022.06.21.497051,2,2022-11-08,bioinformatics,Complete sequence verification of plasmid DNA using the Oxford Nanopore Technologies' MinION device,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/11/08/2022.06.21.497051.source.xml,https://www.biorxiv.org/content/10.1101/2022.06.21.497051,https://doi.org/10.1101/2022.06.21.497051,3,,2026-07-18T08:16:05.901851+00:00
1499,1499,10.1101/2022.05.16.492176,1,2022-05-18,pharmacology and toxicology,Hippocampal β-adrenergic system modulates recognition memory reconsolidation,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/18/2022.05.16.492176.source.xml,https://www.biorxiv.org/content/10.1101/2022.05.16.492176,https://doi.org/10.1101/2022.05.16.492176,0,,2026-07-18T08:16:22.179920+00:00
