source,record_id,application_number,publication_number,patent_number,invention_title,filing_date,filing_year,publication_date,grant_date,first_applicant,applicant_names,assignee_names,cpc_symbols,application_type,source_url,query_year,ticker,parent_company,matched_terms_all,matched_alias_terms,matched_product_terms,matched_text_all,match_fields_all,match_kinds_all,mention_types_all,match_contexts_all,matched_term_count,matched_alias_term_count,matched_product_term_count,match_occurrence_count,max_confidence_score,needs_manual_review,review_reasons_all,best_match_term,best_match_field,best_match_kind
uspto,17570305,17570305,US20220125512A1,12318134,MICROWAVE COAGULATION APPLICATOR AND SYSTEM,2022-01-06,2022,2022-04-28,2025-06-03,"Varian Medical Systems, Inc.","Varian Medical Systems, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/17570305,2022,A,Agilent Technologies,Varian,Varian,,varian,applicant_names; first_applicant,company_alias,methods_or_use,varian medical systems inc,1,1,0,2,0.54,True,context_required_term; single_token_term; low_confidence,Varian,applicant_names,company_alias
uspto,17571347,17571347,US20220220544A1,,SPATIAL NUCLEIC ACID DETECTION USING OLIGONUCLEOTIDE MICROARRAYS,2022-01-07,2022,2022-07-14,,"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",,,Utility,https://patentcenter.uspto.gov/applications/17571347,2022,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,17572447,17572447,US20230218927A1,12208286,PARTICLE THERAPY CLOSED-LOOP FEEDBACK SPOT-WISE BEAM CURRENT CONTROL SYSTEMS AND METHODS,2022-01-10,2022,2023-07-13,2025-01-28,Varian Medical Systems Particle Therapy GmbH & Co. KG,Varian Medical Systems Particle Therapy GmbH & Co. KG,,,Utility,https://patentcenter.uspto.gov/applications/17572447,2022,A,Agilent Technologies,Varian,Varian,,varian,applicant_names; first_applicant,company_alias,methods_or_use,varian medical systems particle therapy gmbh and co kg,1,1,0,2,0.54,True,context_required_term; single_token_term; low_confidence,Varian,applicant_names,company_alias
uspto,17584250,17584250,US20220236235A1,11921093,MOUNTING A SAMPLE SEPARATION UNIT BY A SWIVEL MECHANISM,2022-01-25,2022,2022-07-28,2024-03-05,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/17584250,2022,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,17588023,17588023,US20220154263A1,12534755,COMPOSITIONS AND METHODS FOR PERFORMING HYBRIDIZATIONS WITH SEPARATE DENATURATION OF THE SAMPLE AND PROBE,2022-01-28,2022,2022-05-19,2026-01-27,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/17588023,2022,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,17591462,17591462,US20220152420A1,11938342,TIME OPTIMIZED RADIATION TREATMENT,2022-02-02,2022,2022-05-19,2024-03-26,VARIAN MEDICAL SYSTEMS PARTICLE THERAPY GMBH & CO. KG,VARIAN MEDICAL SYSTEMS PARTICLE THERAPY GMBH & CO. KG,,,Utility,https://patentcenter.uspto.gov/applications/17591462,2022,A,Agilent Technologies,Varian,Varian,,varian,applicant_names; first_applicant,company_alias,methods_or_use,varian medical systems particle therapy gmbh and co kg,1,1,0,2,0.54,True,context_required_term; single_token_term; low_confidence,Varian,applicant_names,company_alias
uspto,17631300,17631300,US20220283091A1,12188871,RAMAN ANALYSIS OF PHARMACEUTICAL DOSAGE FORMS,2022-01-28,2022,2022-09-08,2025-01-07,Agilent Technologies LDA UK Limited,Agilent Technologies LDA UK Limited,,,Utility,https://patentcenter.uspto.gov/applications/17631300,2022,A,Agilent Technologies,Agilent; Agilent Technologies,Agilent; Agilent Technologies,,agilent; agilent technologies,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies lda uk limited,2,2,0,4,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,17631393,17631393,US20220336199A1,11791149,AXIALLY PROGRESSIVE LENS FOR TRANSPORTING CHARGED PARTICLES,2022-01-28,2022,2022-10-20,2023-10-17,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/17631393,2022,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,17631924,17631924,US20220283129A1,12174160,FLUID PROCESSING WITH WITHDRAW-TRANSFER MODULATION,2022-02-01,2022,2022-09-08,2024-12-24,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/17631924,2022,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,17632595,17632595,US20220276125A1,12292352,OPTICAL IMAGING PERFORMANCE TEST SYSTEM AND METHOD,2022-02-03,2022,2022-09-01,2025-05-06,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/17632595,2022,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,17640618,17640618,US20220351836A1,12293820,METHODS AND APPARATUS FOR DETERMINING RADIOABLATION TREATMENT,2022-03-04,2022,2022-11-03,2025-05-06,VARIAN MEDICAL SYSTEMS INTERNATIONAL AG,"VARIAN MEDICAL SYSTEMS INTERNATIONAL AG; VARIAN MEDICAL SYSTEMS, INC.",,,Utility,https://patentcenter.uspto.gov/applications/17640618,2022,A,Agilent Technologies,Varian,Varian,,varian,applicant_names; first_applicant,company_alias,methods_or_use,varian medical systems international ag varian medical systems inc || varian medical systems international ag,1,1,0,2,0.54,True,context_required_term; single_token_term; low_confidence,Varian,applicant_names,company_alias
uspto,17640721,17640721,US20240025759A1,12559385,MAGNETIC NANOPARTICLES FOR SAMPLE SEPARATION,2022-03-04,2022,2024-01-25,2026-02-24,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",,,Utility,https://patentcenter.uspto.gov/applications/17640721,2022,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
uspto,17641405,17641405,US20230110390A1,12529685,"FILTER ASSEMBLIES, DEPTH INDICATORS, TORQUE-LIMITING FITTINGS, TORQUE-INDICATING FITTINGS, AND SYSTEMS INCORPORATING THE SAME",2022-03-08,2022,2023-04-13,2026-01-20,"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",,,Utility,https://patentcenter.uspto.gov/applications/17641405,2022,A,Agilent Technologies,Agilent; Agilent Technologies; Agilent Technologies Inc,Agilent; Agilent Technologies; Agilent Technologies Inc,,agilent; agilent technologies; agilent technologies inc,applicant_names; first_applicant,company_alias,generic_mention,agilent technologies inc,3,3,0,6,0.97,True,single_token_term,Agilent Technologies,applicant_names,company_alias
